global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
5871.100887573527	n/a	n/a	34469825.63206666	5708.049210424702	n/a	n/a	32581825.78863007	4037.453165340122	n/a	n/a	16301028.062314969	4037.290750988904	6206.393872108105	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0136828	n/a	0.00018721901584	n/a	-0.0168273	n/a	0.00028315802529	n/a	-0.0787352	n/a	0.00619923171904	n/a	-0.000858349	n/a	n/a	7.36763005801e-07	0.000349737	n/a	n/a	1.22315969169e-07	0.000310573	n/a	n/a	9.645558832900001e-08	0.0	0.0	0.0	0.0	0.0
5810.520666420139	-60.580221153388266	3669.963194993431	33762150.414895535	5533.919622317518	-174.12958810718465	30321.11345437778	30624266.38627086	4026.640910254393	-10.812255085728792	116.90486003886816	16213837.020134326	4017.0419677304094	5881.305363119497	1.634374	31.415995	0.1132953969	0.0602702	0.0195437411	-0.0613187039	0.0177450378	-0.0354973642	0.028512103	-0.0153959455	0.0658087407	0.0655404063	-0.0929743198	0.0675991927	-0.0015153372	0.0135743371	-0.0397128651	0.0726267449	-0.0616169756	0.1052545773	-0.1251594673	0.1784287569	-0.026120777	0.0074823715	-0.0030522403	-0.056697142	0.0273322547	-0.0034348495	-0.0127580858	0.0157712731	-0.0121659175	0.0212546295	-0.0016393154	0.0119244864	-0.0240173945	0.0097841933	-0.0077961406	0.0877804006	-0.0045729149	0.0417044444	-0.0164096956	0.0151594596	-0.0275792279	0.0311525273	-0.0543034106	0.0059322755	-0.0061065821	0.0479113239	-0.0487539543	0.0188205826	-0.0145483965	0.0087349552	-0.0167578071	0.0211767318	-0.0072791327	0.0117840803	-0.0123305916	-0.0452937262	0.0256941851	-0.0537273179	0.0001872069	0.0147380405	-0.022316836	0.0569521566	0.0370678662	-0.005617351	-0.0681583859	0.0720462716	-0.0311236304	0.0194024852	0.0158394049	0.0294616519	-0.008217681	-0.019161607	0.0583398068	0.0012878467	-0.0049392021	-0.007225833	-0.0130538139	0.076815801	-0.0426928498	-0.0134076638	0.0586769699	-0.042219073	-0.0099143793	-0.0017088632	-0.006925016	-0.0649617371	0.0188838889	0.0580099876	-0.0043622551	-0.002911368	-0.0081702149	-0.0568920813	0.0745104609	0.0404667568	-0.0126134555	-0.0098673919	-0.0256417095	-0.0264639469	0.043112649	-0.0110901021	0.0330711925	-0.078852754	-0.0014831	0.0356247989	-0.0319350708	0.0339180269	-0.0379515889	-0.0220602482	0.0079948059	-0.0145843107	0.0161870586	-0.006024635	0.0325949911	-0.104419484	0.0074818496	-0.0015112005	0.0049924201	-0.0288664327	-0.0230723051	0.0212231821	-0.0022489744	0.0428975737	-0.0106908718	0.0334126679	-0.0799280425	0.0202877091	-0.0333075571	0.0445124642	-0.0313661851	0.0291241176	-0.0179043236	0.0322469747	-0.0130499544	0.0001009292	-0.0016714263	-0.0053743042	0.0345485227	-0.0566698128	0.0128669563	-0.0120677825	-0.0458596168	0.0071626642	0.1090656844	-0.0204763517	0.0308928539	-0.0325955927	-0.0298565602	0.1318014275	0.0083367485	-0.1090919969	0.0222635487	0.0169921218	-0.0153790626	-0.0143713575	0.012744488	0.0092213217	0.0192551572	-0.0215614434	-0.0292836097	0.0265851869	0.032430799	0.0262567918	-0.0447972119	-0.0278818467	0.0318600319	0.016248425	0.0052652299	-0.0167020345	-0.0775155854	0.0173815153	0.0330278151	0.0309712677	-0.0081908659	0.0107656412	-0.0362245627	0.0713993406	-0.022697797	0.0139584046	-0.1054181038	0.0204107003	-0.0312455114	0.0513288158	-0.0374847493	0.0120024739	-0.04273013	0.0385962839	-0.0093983412	-0.0195463864	0.0653149926	0.0157889927	-0.041834644	0.0584785031	-0.0017887418	0.0342519562	-0.0380445267	0.0918610248	0.0918549718	0.0918448838	0.0918307613	0.0918126049	0.0	-0.00345952	0.01022328	1.1968278630400002e-05	0.0001045154539583	9.05669e-05	0.0169178669	8.202363375609999e-09	0.0002862142204461	-0.0244514	0.0542838	0.00059787096196	0.00294673094244	-0.000550085	0.000308264	9.502669369600004e-08	3.02593507225e-07	0.00040069	5.095300000000001e-05	2.596208209000001e-09	1.605524761e-07	0.000588765	0.0002781919999999	7.739078886399999e-08	3.46644225225e-07	1.0	0.0	0.0	0.0	0.0
5802.653978279923	-7.866688140215956	61.884782295414375	33670793.19164781	5551.122292107618	17.202669790100117	295.9318479072232	30814958.701934133	4026.158972129287	-0.4819381251058985	0.2322643564305886	16209956.068857158	4017.276391804628	5836.133950796216	1.100833	21.160246	0.1178199281	0.0683106	-0.0149429164	-0.1009697746	0.0047893053	0.0402350535	-0.1207583579	-0.0181717387	0.131639276	0.1047297813	-0.1380849504	0.0569463056	-0.0332352285	0.160114864	-0.2219662789	0.1522125868	-0.0790229323	0.1700714792	-0.1615696474	0.0521493166	-0.0377988877	0.052703458	-0.0425149687	-0.0857253306	-0.0543621996	-0.0216828346	-0.0160256763	-0.0585280972	0.0222550696	0.0509731599	-0.1108703501	0.0936576426	0.0652181878	0.0643722194	-0.0034492534	0.1328677692	0.0575149209	-0.0262519211	-0.0674825793	0.0388661897	-0.0215611507	0.1195148373	-0.0520601762	-0.0704204222	0.042220611	-0.0896089146	-0.0931838637	0.0999010136	-0.0224482705	0.0998535531	0.0047064522	0.0969190624	0.0607598725	0.1154552531	0.0392164257	-0.0584379519	-0.0978443793	-0.1027533083	0.041141809	-0.0386613056	0.0537814389	0.0526078901	-0.0127495115	0.0250389725	-0.010887254	0.048722965	0.0454403746	-0.0033885928	0.0846599023	0.0258135863	-0.0260248672	0.0417424577	0.177148197	0.0018061286	0.0548564033	-0.0335095957	0.0039839735	-0.0727085179	0.0905415462	-0.0309774796	0.0105853777	-0.0010783297	0.0658762086	0.0218112701	-0.0107460396	-0.010532704	0.0041642305	0.0569464991	0.0111955481	0.1074097456	-0.0455946892	0.0072861608	0.0768361558	-0.0287485377	-0.0586285387	0.0866984295	0.0147738254	0.0433059564	0.087371706	-0.0390441007	0.0323884697	-0.1054406259	0.0574601343	0.0555872987	-0.1104497672	0.1126792736	-0.0092219055	0.0448770302	0.0780371946	-0.0125474381	0.0582170808	0.0787798674	-0.0021869985	-0.1716696092	-0.1552257445	-0.0785729909	0.0586854382	-0.0814849447	-0.0459669056	0.0405383734	0.0185130307	0.043442976	-0.1236017378	0.116242028	-0.1055606985	0.0327127667	-0.0041572099	-0.0176079094	-0.1147335306	0.1362176383	-0.11325578	-0.0139208372	-0.0086932108	0.0369655764	0.0523258697	0.0228040137	0.0653851386	0.1144427697	0.012465918	-0.0545137123	-0.0348443079	0.052421238	0.0468249796	0.1207074139	0.0122796087	0.0040498617	0.0301447401	0.1104786528	0.0683413936	-0.0815707638	0.0030253706	-0.0219611339	-0.0629286079	-0.0577707597	0.0216921122	-0.1182138234	-0.0234327266	0.0154347901	-0.1305910835	-0.0413169859	0.0875652548	0.0632446433	-0.0127409809	0.0015150862	0.1034827717	0.0284370116	0.0278315003	0.012467033	-0.1313627373	-0.009661682	0.0099120938	0.0414687	0.0783832678	-0.0074359628	0.0397127298	0.026079413	0.0548534104	-0.0431637842	-0.086217386	0.0913709649	-0.0811591631	0.0494335034	0.019364817	-0.0704904437	-0.1158192378	0.1635740385	-0.057457249	-0.0821412158	-0.0139980934	-0.0305593537	-0.1352276867	0.006643339	0.0329629787	0.0439722521	-0.1226043597	0.0918448838	0.0917904153	0.0916996582	0.0915726486	0.0914094366	0.0	0.0268174	0.03027692	0.00071917294276	0.0009166918846864	0.0097809	0.0096903331	9.566600481e-05	9.390255558895562e-05	-0.0284504	-0.0039989999999999	0.00080942526016	1.599200099999999e-05	0.000582969	0.001133054	1.2838113669160003e-06	3.39852854961e-07	5.66705e-05	-0.0003440195	1.1834941638025e-07	3.2115455702499997e-09	0.000588765	0.0	0.0	3.46644225225e-07	0.0	0.0	0.0	0.0	0.0
5795.619045307235	-7.034932972687784	49.49028193020978	33589200.118327945	5477.232625666024	-73.88966644159336	5459.682806849928	30000077.235660333	4022.5941665808286	-3.56480554845848	12.707838598320366	16181263.829010112	4007.707366641647	5651.849502459547	1.352342	25.994757	0.144379725	0.0743970999999999	-0.1038372705	-0.0593253612	0.0466221749	0.0085173679	0.0764546928	-0.0865662284	0.0702931821	-0.0509406603	-0.1007617794	0.0649485494	-0.0065982364	-0.0130999724	-0.0575418339	0.0539582079	0.0736729666	0.2121802928	0.1221732944	0.0098038795	0.0611619498	0.1099056709	-0.0484975398	-0.0141564514	0.0382005794	0.0779166185	0.0361661593	-0.0426327598	0.0369346026	-0.007747876	0.0674569884	-0.0180026985	0.0001671673	0.0354227189	-0.0154525257	-0.0832985552	-0.0033091316	-0.0958239228	-0.0909759517	0.0584878321	0.0546113092	-0.0132960811	0.0721868486	-0.0174463159	0.0074851862	-0.0589903667	0.0353218051	0.0302443311	0.0225428402	-0.0344629276	0.0433520218	0.0032041836	-0.0256186979	-0.0177263126	0.0967402083	-0.0133715724	-0.0292914693	-0.0592757519	-0.0111283345	-0.0372248688	0.0647876677	-0.0980163154	-0.0181401421	0.0017084645	-0.0078786605	-0.1133559432	-0.1284095258	-0.0081701731	0.1194306179	-0.0826744918	0.1515536435	-0.0043534932	0.0486482464	-0.0324443408	0.0023146234	0.1304575775	0.1152182109	-0.02915616	0.1130633738	-0.0113382093	-0.0559830888	-0.0138241399	0.1446770845	-0.0633951611	-0.0316059327	0.1090876896	-0.0152655381	-0.0257814033	-0.0340409095	0.0160678684	-0.0129492925	0.0026512207	0.001152628	0.0680295718	0.0520060791	0.0352653458	0.0396717205	0.0441662158	-0.0257154574	-0.1030121707	-0.0649286037	-0.0155516366	-0.0601250282	-0.0235040964	-0.0034050035	-0.0416221681	0.0315694889	0.0666457163	-0.1449827485	-0.0172481157	-0.0472243754	0.046781748	0.054190542	0.0698756118	-0.038314331	0.0023555916	0.0716258661	0.0569157454	0.0176530675	-0.081925311	0.0261943291	0.0372627716	-0.0763308941	0.0715808035	0.0884416094	-0.0519231126	-0.0105319963	-0.0351467509	0.040863719	0.1142767293	-0.0274178377	-0.0589809578	-0.0119700986	0.0595409541	-0.0255143257	0.0152531525	-0.0195709398	0.1563935281	0.0295014558	-0.0546565327	0.0180350054	0.0600633145	0.0081058921	0.0556218333	-0.0175083539	-0.0314854542	0.1350355759	-0.006665963	-0.1414315448	0.1914993452	-0.1530304681	-0.0063993015	-0.0550962665	-0.1137319152	-0.0545944337	-0.1371113677	-0.0106820374	0.0919429564	0.0289295098	-0.0110964903	-0.059008873	-0.0989586795	0.0060659421	0.0382608228	0.0918454745	0.0304001746	-0.0572120814	0.0313665987	0.07257965	0.0137535336	0.0466039198	-0.0734933357	0.0086858706	0.1391551589	0.0071684782	0.0502828448	0.0274427575	-0.0285633699	0.1391817914	-0.0456836284	-0.0605354022	-0.1153549323	-0.088974622	0.004238101	-0.0342502648	0.0469288832	-0.0986839316	-0.0696662871	0.0743146453	-0.0449618261	-0.064702945	-0.0098443195	0.0647045383	-0.0777492997	-0.1529262077	0.0918126049	0.0916613475	0.0914094366	0.0910571485	0.0906048703	0.0	0.0365006	0.0096832	0.00133229380036	9.376436224e-05	0.0222975	0.0125166	0.00049717850625	0.00015666527556	-0.0016505	0.0267999	2.7241502500000003e-06	0.00071823464001	-0.000550085	-0.001133054	1.2838113669160003e-06	3.02593507225e-07	0.000363412	0.0003067415	9.409034782225001e-08	1.3206828174400002e-07	0.00105657	0.0004678049999999	2.18841518025e-07	1.1163401648999998e-06	0.0	0.0	0.0	0.0	0.0
5821.792026409063	26.172981101827645	685.0249397566271	33893262.39876014	5506.095890571882	28.86326490585725	833.0880610256908	30317091.956172563	4033.22626122008	10.632094639251136	113.04143641799274	16266914.074195305	4015.785283601595	5777.8118125242345	1.235107	23.741261	0.170167075	0.0863141	-0.0267694167	-0.0767695307	0.0546370632	0.0346739081	-0.1352811785	-0.1347045936	0.0384156035	-0.0489256015	-0.0747426411	-0.1072576091	0.0711985593	-0.0565355678	-0.1394416227	0.0412292217	0.1625304584	0.1456390123	-0.0624344779	0.0227373397	-0.003597415	0.1520432445	0.0395353084	0.0869397868	-0.122147349	0.0664521231	0.0643625716	-0.0197546414	0.0594517826	-0.1389917641	0.0595134672	0.0021084701	0.0364917126	0.117420046	-0.003416275	0.0006684311	-0.0500447515	0.0362049468	0.0395902813	-0.0050714983	0.1120415776	0.08343023	0.0094104292	0.1000156319	-0.0442545554	0.0682794832	-0.0237047852	-0.0802800292	0.0430339306	-0.1041849985	-0.025302407	0.0167569503	0.0291347506	0.0267044894	-0.0057694874	0.0402886994	0.1153376722	-0.0534735918	-0.0149951984	0.0319051801	0.1034310015	0.01195	0.067572654	-0.0620893255	-0.0412943216	0.0028920465	-0.0606771946	0.0491012805	-0.0132627741	-0.1205365684	0.0494377184	-0.103831964	0.0037619083	0.0649573958	0.0308293759	0.0199848215	0.0688687608	-0.0227524388	-0.0309915355	-0.0865082835	0.0890784949	0.0092099393	0.0827072327	0.0645620168	0.0451886652	0.0302676041	0.0639273496	0.0830739069	-0.008199309	0.0034366936	0.0961450044	-0.0028163179	0.0793194068	0.0140928885	-0.1046509594	-0.0552700588	-0.0085186035	-0.101263139	-0.0317199252	-0.1140704953	-0.001300967	0.0967420871	0.1316335186	0.0219319794	-0.0249706415	-0.1037555875	-0.0031968492	0.0334610037	-0.0992802747	-0.0011560275	-0.0348735848	0.0436076975	0.0514880529	0.0271028083	-0.0630289321	-0.1330891628	0.0750215709	-0.0650371166	-0.1323504013	-0.0541911707	0.0451043662	-0.031139314	-0.022367357	-0.0991127884	-0.0565115626	-0.0852861393	-0.025456028	0.0059183474	0.0997430153	0.0002993981	-0.0858193958	0.075285127	-0.0542464769	-0.0783816106	-0.1292895787	0.0071158522	0.0622319688	-0.0155972474	0.0538657308	0.0224233597	-0.1076479567	0.0138992349	0.0904462486	-0.1109979151	0.0751163337	-0.0326094156	0.0019656722	-0.0281763993	-0.0093958328	0.0723846489	-0.0399562298	0.0357213294	0.0715105293	0.0430925182	-0.0199093057	-0.0288665392	0.0283826003	-0.0017845302	0.0629417339	-0.0388896772	-0.0304203857	0.0468949467	-0.0226820297	-0.0512091612	0.1031423972	0.1193363496	-0.0469158959	-0.0518041715	0.0063440081	0.1090048001	0.0107381064	0.1113937504	0.1048579902	0.0808890017	0.0976448202	-0.0050387093	0.0475622594	-0.1239102203	0.0694160897	-0.0191623314	-0.0670806399	-0.0250214882	0.0470109838	0.0671615858	-0.0397373353	-0.01411308	-0.1064211084	-0.0032326942	0.0563671462	-0.0716213225	0.0463349005	-0.0732247058	0.055743185	-0.105447266	-0.2033497522	0.0917641935	0.0914678594	0.0909746778	0.0902857102	0.0894024392	0.0	0.0376542	0.0011535999999999	0.00141783877764	1.3307929599999946e-06	-0.0143552	-0.0366527	0.00020607176704	0.00134342041729	-0.0490687	-0.0474182	0.00240773731969	0.00224848569124	0.000452203	0.001002288	1.004581234944e-06	2.0448755320900002e-07	5.66705e-05	-0.0003067415	9.409034782225001e-08	3.2115455702499997e-09	0.000666748	-0.0003898219999999	1.5196119168399996e-07	4.44552895504e-07	0.0	0.0	0.0	0.0	0.0
5829.178050815738	7.38602440667546	54.55335653600559	33979316.74811197	5533.668262561495	27.5723719896132	760.2356971336067	30621484.440080352	4036.755284224338	3.529023004258306	12.45400336458432	16295393.224713117	4020.8734543654746	5888.2433436343545	1.328639	25.539127	0.118882075	0.0685733	0.0444357052	-0.1032255921	0.0248743402	-0.0951976177	0.0121444522	-0.0313339544	0.0847534606	0.0554277095	-0.1058417262	-0.1609546564	-0.0292982499	0.0242488801	0.0902108988	0.0665165374	0.0736502543	0.090138831	-0.0378366188	0.0377013419	-0.088336185	0.1025897102	-0.0273928969	0.0474457794	0.0342566199	0.1402268568	0.1773055457	-0.0086417748	0.0904794255	0.0228626155	-0.01074896	0.0738755207	0.077668815	0.0358989529	0.0141198594	-0.0249269658	0.0017062092	-0.0219877885	0.0729335039	-0.0489859824	0.076060725	-0.0705692297	0.0017103643	0.0565026671	0.0737398753	-0.0428202208	0.093644964	-0.1069661655	-0.0640252541	-0.0748751129	0.0316567956	-0.0030387863	-0.0316696238	-0.0395949927	0.0251206569	-0.0913760264	-0.103459359	0.0042287095	-0.0497225867	0.1073732604	0.0568946081	0.0208625632	0.0281357959	-0.0336797067	-0.0419156755	0.0048049416	0.1276142612	0.0801580195	0.0440076416	0.0873518036	-0.0798449521	-0.0136596235	-0.0579462162	-0.0412345298	-0.022357525	-0.0032112733	-0.0100829369	-0.0118752769	0.0424578506	-0.0048538293	-0.0848093664	0.0090407212	-0.0516565355	0.0022471813	0.0283103403	0.1182687977	-0.0905992141	-0.0223958721	-0.0010914646	-0.0619244375	0.0513598239	0.0569457379	-0.012735514	-0.1804055172	0.1055168284	-0.0477476527	-0.008103912	0.012680451	0.0524500222	-0.0752620059	0.0326008288	0.078431099	-0.0745104916	-0.1009706114	-0.0324295331	-0.1193659691	0.1150485954	-0.0973227002	0.0063771802	-0.065647171	0.0808851249	0.0673501823	-0.0454754598	0.0155821385	-0.067303484	-0.1056671925	-0.0078929912	-0.0726753044	-0.0233907314	-0.1259909552	0.0015528743	-0.0727140912	0.0249369495	0.0301272475	-0.0303207836	-0.0398166293	0.1714314474	-0.0201206239	-0.0168912149	-0.0585895558	0.0043625161	0.0814471499	-0.0710979616	0.0323801419	-0.0011900505	0.0793284956	0.0258810637	0.0413649338	-0.0323464148	-0.0513955437	0.0595601258	-0.0144131911	-0.0557753652	-0.0995700381	-0.1141856554	0.0168680692	-0.0110431975	-0.0056148749	0.0998242828	-0.0044914491	-0.1350197656	-0.0653326337	-0.0084570448	0.020510559	0.0137294583	-0.0018964703	-0.099499513	-0.0021082383	0.1082018392	-0.0099052802	-0.0415138513	0.0794254147	-0.0425043776	-0.1194006536	0.0379633806	0.0036704354	0.0457800327	0.0103692875	0.1100107364	-0.0852927997	0.0390563859	-0.1693117712	0.117737552	0.0858515252	0.0441757934	0.0457036226	-0.0728753482	0.0272116985	0.0344778433	-0.0217516255	-0.0425872288	0.023445045	0.0552653067	0.1204207633	4.32321e-05	-0.0062981828	-0.1211612918	-0.0859771546	-0.0440097167	-0.0623843499	0.0506532425	0.0230606225	-0.0373229903	0.077381471	-0.0705707094	0.0916996582	0.0912100867	0.0903960694	0.0892605018	0.0878074234	0.0	0.0297503	-0.0079038999999999	0.00088508035009	6.247163520999998e-05	0.047898	0.0622532	0.002294218404	0.00387546091024	-0.026959	0.0221097	0.000726787681	0.00048883883409	0.000290064	-0.000162139	2.6289055321e-08	8.413712409599998e-08	0.000348854	0.0002921835	8.537119767225e-08	1.21699113316e-07	0.000588765	-7.7983e-05	6.081348289e-09	3.46644225225e-07	0.0	0.0	0.0	0.0	0.0
