global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
5595.8403304434	n/a	31313429.00381689	n/a	6049.150918131511	n/a	n/a	36592226.83033131	4046.412990025112	n/a	16373458.085843964	n/a	4158.430024913565	6357.223189971335	n/a	n/a	n/a	n/a	0.0460885764	-0.0455955992	0.0526533008	-0.0026636253	0.0208368111	-0.027150507	0.036624132	0.1225553164	-0.0139792326	0.0223942215	-0.5563788314	0.0479749395	0.0136689431	-0.0624059241	0.022288222	-0.0470878976	0.0307686855	-0.0188834793	0.1289197982	-0.0332667691	0.188646446	-0.0173651218	0.0065266197	-0.0441327291	-0.0288901158	0.0102692818	-0.0153442733	0.0002032105	-0.008039801	0.0458844762	-0.068944159	0.0409341348	-0.0454079686	0.031038234	-0.0236957455	0.0048535562	-0.0709027984	0.0754006129	-0.0294824778	0.0213298367	-0.0308637126	0.0795251514	-0.0026897701	0.0101030437	-0.0046320332	0.0012575412	-0.046306712	0.0485090195	-0.0040541768	0.0317932514	-0.0759674988	0.0211661082	-0.0235696076	0.0447716929	-0.0300982303	0.0409680006	-0.0322605621	0.0146569296	-0.0026420071	-0.0329055552	0.0269564022	0.0095957	-0.026661251	-0.0631854371	0.0151373162	0.0287808089	-0.0196989988	-0.0492981804	0.0725449019	0.030534037	-0.0700658626	0.0364534307	0.0278673634	-0.0295748609	-0.0211755372	0.0150898735	0.0037163132	0.045525065	0.0359757333	-0.0661347753	-0.0115461712	0.0294898786	0.0390848868	-0.0180007687	-0.0293697801	0.0083054068	0.0011368158	0.0158688556	0.0398337899	-0.0519522606	0.0315217081	0.0406410588	0.0069714921	-0.0457650037	-0.0059543835	-0.0077007752	-0.0071766089	0.0194091228	0.0646073166	-0.0206237398	-0.0005736731	-0.0288220755	-0.0090555208	0.0082916603	0.0063723784	-0.0472948246	0.0426867289	-0.0324741653	0.0309521005	0.0145049315	-0.0295197771	0.0411852671	-0.0399393592	0.2045033601	-0.0764662578	0.0863191432	0.1139916894	-0.232169836	0.0714145098	-0.1035173095	0.1176941038	-0.0139097738	0.038681942	-0.0064839459	0.006593573	-0.0680004075	0.0281260932	-0.0439539587	0.000433299	-0.0492384849	0.0499749823	-0.0048540536	0.0035318598	-0.0713016104	0.0051366185	-0.0430729367	0.0637535834	-0.0243346239	0.0364953319	-0.1048557028	0.0139754382	-0.0404615834	0.0194507805	-0.0055723341	-0.0204677274	0.0051107099	0.0535165745	-0.0181088987	0.0403220607	0.0565822994	-0.0322753975	-0.0157939708	0.0410007731	-0.0422711261	-0.0178833411	0.0359397876	0.0602528105	-0.0453594045	0.0597769334	0.0197991089	0.0082859975	0.0020416674	-0.0384317876	-0.0736187319	0.0403882234	0.0640806938	0.0029579246	-0.0696192703	0.0048515601	0.025334484	0.0036097911	0.0271843415	-0.0364287993	0.0310623197	0.0047307893	0.0075659485	0.0092122083	0.0850955254	-0.0409664365	-0.0041956747	0.0078382946	0.0422078753	0.0194396829	-0.0070542791	0.0790530904	-0.130454104	0.059281035	-0.0114803007	0.0328374583	-0.0469473282	0.0242269001	-0.0112945265	0.0667883949	-0.1033221854	0.0331899587	-0.2229106494	0.0092645645	-0.1660745367	0.1777224773	-0.0709506469	-0.069782988	0.1359493386	-0.0559253237	0.0016380488	-0.0354955763	0.0158345851	0.0916678532	0.0916618636	0.0916518812	0.0916379066	0.0916199402	0.033785	n/a	0.001141426225	n/a	0.137151	n/a	n/a	0.018810396801	-0.0907096	n/a	n/a	0.00822823153216	0.00126101	n/a	n/a	1.5901462200999998e-06	0.000750639	n/a	n/a	5.63458908321e-07	-0.0008357949999999	n/a	n/a	6.985532820248328e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5595.728519828357	-0.1118106150424864	31312177.667620458	0.012501613636179	6063.862277018229	14.71135888671779	216.42408029381048	36770425.7146447	4044.134557465799	-2.2784325593129324	16355024.318889093	5.19125492733728	4159.005365906669	6409.0111749822445	1.268687	26.820438	0.04072665	0.0188275	0.0549422671	-0.0661535469	-0.0582503475	-0.0272748647	0.0735770506	-0.0292042321	0.0926769994	0.0884825946	-0.0862366416	0.0942127376	-0.5436579575	0.0477453872	0.0772014255	-0.0068487491	-0.1589078881	-0.0088161683	0.0248867008	-0.1503357706	-0.1109394372	-0.1265593712	0.0663300607	-0.0393041851	-0.022776339	-0.0015954937	0.0092170171	0.0413260831	-0.0656927387	-0.170707841	0.0400176197	0.1468986037	-0.1596795959	0.0374453034	-0.1229812763	0.0757055732	-0.0144059703	-0.0086915469	-0.0416931069	0.0160037123	-0.1190837673	0.0133490109	-0.1145336878	0.0069559604	0.04710241	-0.0552076008	0.0484657152	-0.0084320794	0.0270890733	0.0618810161	-0.0133331831	0.108044886	-0.0274359854	0.0237730592	-0.1174526502	-0.0133485978	-0.027813448	0.0210380592	-0.0342182852	0.1098051104	-0.0576945239	0.0225339597	0.0773442904	0.0280736343	-0.0120939646	-0.0641794372	0.0451863341	-0.033200769	0.0397711243	-0.0908227257	0.0299774103	0.0009832993	0.0403790674	0.054392734	0.0386248495	0.0155338824	-0.039433169	-0.0176484872	0.0618999515	0.0029426309	-0.0068011248	-0.0540979622	-0.06666008	-0.0544120242	-0.0830942599	-0.0704803723	-0.0228565766	-0.0111178032	-0.0734269537	0.0600800149	0.0270479328	-0.1286404646	0.1417402889	0.0313453259	0.0080807195	-0.0037006164	0.0683353241	-0.0278450331	-0.0944438465	-0.0658256519	0.0617446053	-0.0429543974	0.0137383097	-0.0822357988	-0.0769567255	0.0609688835	-0.0099912668	0.0146489992	0.0731910138	-0.1123131815	0.0158908003	0.0017759212	-0.1912699846	0.1828767581	-0.0977036201	0.3252166843	-0.0501858026	0.0869035229	0.1933543696	-0.2613779726	0.1472525213	-0.2514565295	0.0549104952	0.048314158	-0.0789104869	-0.1063318893	0.0165178954	-0.0517385045	0.0460920181	-0.0245849347	0.0072824077	-0.0978615271	0.1503537413	0.0408530106	-0.0102223354	-0.0289587615	0.0619086681	-0.0404536816	-0.0058534901	0.0044514378	0.0675259806	-0.0504884167	-0.0601704203	-0.1440445409	0.046439505	0.0091465657	-0.0375832096	-0.0070042963	-0.0687730725	0.0567508265	0.0169844455	0.025564154	-0.0131579261	0.0725179203	-0.0051015265	0.08084271	-0.0121155261	0.0123887243	-0.0156655399	-0.093904317	-0.0200519504	0.0061668179	-0.0143337946	-0.0504585188	0.055000195	-0.0241094101	-0.014563931	0.0174163697	0.0120295287	0.0313716073	0.0097346963	0.0643987479	0.0287974272	-0.032470178	0.0687278069	0.044412392	0.0184772555	0.0745316562	-0.0196398527	-0.0115047627	0.0261271508	-0.067137845	0.0137121038	0.0036528477	0.0331400087	0.0823904122	-0.0483206744	-0.1964723514	0.1202325535	0.0035560182	0.1592639141	0.0142653718	0.0469931974	0.091402438	-0.0567835896	0.0942174121	0.0029654508	-0.2617217858	-0.0465303219	-0.0702871432	-0.1091101548	-0.0032812804	-0.1632403224	-0.0072120853	-0.0869487804	-0.0241361012	-0.0976889327	0.098603543	0.0916518812	0.0915979829	0.0915081759	0.0913824953	0.0912209905	0.0275281	-0.0062569	0.00075779628961	3.914879761000003e-05	0.135613	-0.0015379999999999	2.3654439999999502e-06	0.018390885769	-0.0829649999999999	0.0077446000000001	5.997882916000157e-05	0.0068831912249999	0.00101685	-0.00024416	5.96141056e-08	1.0339839224999998e-06	0.000875398	0.000124759	1.5564808081e-08	7.66321658404e-07	-0.000970619	-0.0001348240000001	1.817751097602697e-08	9.42101243161e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5570.46991471823	-25.258605110127064	31030135.070780925	637.997132109337	5943.41620670573	-120.4460703124996	14507.255853723602	35324196.20613232	4048.59797212502	4.463414659221144	16391145.539894825	19.9220704201502	4154.384450778261	6260.567941860062	1.234626	26.100389	0.0664496	0.0351337	0.0008019528	0.0931455278	-0.0685128839	0.0249053246	0.0966314181	-0.0657495272	0.1752444033	-0.030596715	-0.0945417911	0.044814977	-0.0952674499	0.0071727566	-0.021249086	0.0192079973	-0.0145404627	-0.0730856122	-0.0200298925	-0.0323368599	0.0316056248	0.0967304413	0.0032130271	0.0176617821	-0.0252029085	0.1170095977	0.0191310566	-0.065830652	0.0043958551	-0.0278365409	0.0271318105	0.0395653959	-0.0515604164	0.0856041671	-0.0900642835	0.1230261428	-0.0057485254	0.0686578935	-0.0733708781	0.0617182897	0.0168566873	-0.0241558054	-0.1318868751	-0.0317495202	-0.0619521016	-0.1027597287	-0.0511207063	0.1499721308	0.0604240523	-0.0418578958	-0.0747604215	0.0374977456	0.0407456788	0.0286604583	0.008467565	0.0117014619	-0.0940694736	0.0150791874	0.0744832004	0.0176794604	-0.0460703725	-0.0607191111	-0.0648942797	-0.0625933517	-0.0311478708	0.0419024285	-0.0051949498	-0.0734926597	0.0409874614	-0.005323686	-0.0961196214	0.0453064621	0.0157843528	-0.0269022134	-0.031770858	0.0121059808	0.0235255182	0.0115763108	-0.0103258028	0.057601645	0.0092726675	0.0212862558	-0.0050843901	-0.0118739857	0.0214081722	-0.0040423826	0.0881470621	-0.0141929076	0.0119421239	0.0756254999	-0.0945446776	0.0231609551	-0.0648584371	-0.0773373761	-0.0444082322	0.0205623097	-0.0258811416	0.1144919084	-0.1221437818	0.0630880163	-0.0025931786	-0.0155031184	0.0364874911	0.0281481346	-0.1355980934	0.0137825468	-0.0059637027	0.0943747918	-0.039542704	-0.0189449739	0.0016134775	-0.0605267096	-0.0011149211	0.0387864515	0.0597831084	0.1278781404	-0.0998826937	0.0224033942	0.1135746453	-0.0832124465	0.052732344	-0.0455810662	-0.0105286149	0.0028666517	0.0122138986	-0.0401699791	0.0077645276	0.0111388914	0.0363265246	0.0803877932	0.0130816537	0.0215035518	0.0155431316	0.0710922261	-0.0487814185	0.0701229017	-0.0053055014	-0.0530889018	-0.029942055	0.0780740658	-0.0691664073	0.1735780808	-0.0461143725	0.1014248381	0.0576358749	-0.0130337638	-0.0283313371	-0.0047953933	-0.0287192967	-0.1254427415	0.0495761151	-0.058257821	0.0432391298	0.0752674057	-0.0216801466	-0.0294174105	0.028076647	-0.1386039284	-0.0540345422	0.0093871846	-0.0243349603	0.0100087504	-0.0102147357	0.015155778	-0.0320859248	0.1089655505	-0.0761206014	-0.0049937845	0.0172160531	-0.0256250459	-0.0456334422	0.0518082414	0.0442954598	-0.019227874	-0.046006319	-0.0051639439	-0.0397811529	-0.0340917223	-0.0017993774	-0.0494820315	-0.0250916612	-0.1032396864	-0.0604703948	0.048337748	-0.0199844646	0.1153125669	0.0307954816	-0.0813963657	0.1012430908	0.099704716	0.1074103185	0.0267081285	-0.0698849857	0.0614564489	-0.0279682668	0.085165091	-0.0308154514	-0.1864140774	-0.1839775455	-0.0107784265	-0.0548748626	0.0223524158	-0.0708158758	0.0312576413	-0.0313465248	0.0384584249	-0.0830657349	0.0238073636	0.0916199402	0.0914702662	0.0912209905	0.0908723846	0.0904248282	0.0215061	-0.006022	0.00046251233721	3.6264484e-05	0.12359	-0.012023	0.000144552529	0.0152744881	-0.0584072	0.0245577999999999	0.0006030855408399	0.00341140101184	0.0009519	-6.494999999999993e-05	4.218502499999991e-09	9.0611361e-07	0.000536697	-0.0003387009999999	1.1471836740099997e-07	2.8804366980900005e-07	-0.0008973339999999	7.328500000010005e-05	5.3706912250146644e-09	8.052083075558205e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5574.7115683765305	4.241653658300493	31077409.07059112	17.991625756973953	5928.8850428059895	-14.531163899740022	211.1547242811077	35151677.85080858	4051.4123578943168	2.8143857692966776	16413942.093698788	7.920767258419652	4154.692718838558	6257.95067512365	1.127824	23.842562	0.0566683	0.0288773	0.0049310698	0.0441074329	0.1431102649	0.0338272143	0.0592077033	-0.0756912708	0.0734691896	-0.0628715844	0.0882773461	-0.0715243319	-0.091290438	-0.0027206599	-0.0136161337	0.0171673279	-0.0105984275	0.0202057703	-0.0199420628	-0.0184596011	0.0475604409	-0.0146643928	-0.0685167081	0.0292301467	-0.0068060363	0.0139429445	-0.1546783168	-0.0504953043	-0.0069169554	-0.1264367456	0.0161970702	0.0298863876	0.066839943	-0.0043344398	-0.0528150786	0.070560722	-0.0442087116	-0.0443345096	-0.0482783383	0.0364861458	-0.056367531	-0.0048761876	-0.04629052	0.0143637648	-0.0754541472	0.0171043147	0.0674960569	0.0718677703	-0.0544232393	-0.0146728343	0.0241872351	0.0770817864	-0.0029285658	-0.0668403596	0.0094475801	0.0141582041	-0.0072780448	-0.0281315045	-0.0579316327	-0.1089818042	-0.0601670443	-0.0662943922	0.036564616	-0.0840286886	0.0425992922	-0.0252542511	-0.0792345415	0.0736211064	0.0743678815	0.1409134395	0.0748939042	-0.056428884	-0.055044076	-0.0836710147	-0.0503684752	0.0439142409	-0.041726361	0.0447198258	0.0160433728	0.0525107938	-0.0185703264	0.0020442067	0.0435672442	0.0688878902	-0.0666938135	0.0977210223	-0.0590972273	0.0684457881	-0.1093716248	0.0429997321	-0.0165680432	0.0068239764	-0.0279931835	0.0745111193	-0.0939217115	-0.0083624306	-0.0380769451	-0.0295182792	-0.0798644884	-0.0524842296	-0.0407797429	0.0448495221	-0.0400077439	0.0392406135	-0.0417245912	-0.0671663873	0.0067657698	-0.073720687	-0.107201892	-0.030058829	0.0715947662	0.0342316214	-0.0829507864	0.0897450085	-0.0055645281	0.0771230739	-0.0246785456	-0.0108450481	0.0410352328	-0.009507545	0.1883225314	-0.0242982332	-0.030422705	0.0240889539	0.0243695305	0.0032310645	-0.0365697786	0.0792959237	-0.0603593508	-0.0194928694	0.0095174209	-0.0028948877	-0.0256023477	0.010805934	-0.0028387338	0.0390012668	-0.0062183166	-0.0503732928	-0.01118593	0.0292512258	-0.0821147764	0.0449335126	-0.0115428422	0.0576146043	-0.0125578181	-0.1045179893	0.103873218	0.0637137487	0.1256973142	-0.0043213959	-0.1130926445	0.0781302538	0.0680081932	0.0029538734	0.0013651147	-0.0956289844	0.0294509919	0.0348292661	-0.0217010664	0.0842918893	-0.0184432413	0.0484840522	0.0616101405	-0.0131050465	-0.0464625013	-0.0053732083	-0.0228969331	0.0440382811	-0.0398392826	-0.0834333312	0.0372138826	0.0278533971	-0.0157543121	-0.0736828898	0.0099346023	-0.1184872898	0.0399344506	-0.0534435704	0.0637916349	0.0749474055	-0.0597242564	0.0246740299	-0.0311486273	-0.0799832948	-0.028609941	0.0198251809	-0.0547804926	-0.1949234972	0.084068125	0.0465659734	0.0911132677	-0.0482007771	-0.0820312046	0.0715596207	-0.02040174	0.0538003338	0.1007171729	-0.1963266311	-0.0737755182	-0.0460458671	-0.0685789409	0.0357889182	-0.0382863775	-0.0688262269	-0.0581525352	0.0544901476	-0.0047563293	-0.0029279128	0.0915720357	0.0912788023	0.0907907753	0.0901089963	0.0892349201	0.030797	0.0092909	0.000948455209	8.632082281000003e-05	0.102857	-0.020733	0.000429857289	0.010579562449	-0.0726026	-0.0141954	0.00020150938116	0.00527113752676	0.00113934	0.0001874399999999	3.513375359999999e-08	1.2980956356e-06	0.000536697	0.0	0.0	2.8804366980900005e-07	-0.0008357939999999	6.154000000000001e-05	3.787171600000001e-09	6.985516104358328e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5570.431177488734	-4.280390887796784	31029703.50313852	18.32174615233374	5913.099376790365	-15.785666015624884	249.1872515568544	34964744.2397986	4052.981963901912	1.5696060075952118	16426662.799714198	2.46366301907898	4154.864195272637	6261.021148765711	1.206981	25.515965	0.0847457999999999	0.0486228	0.0091210261	-0.117644449	0.0314673208	0.0920835908	0.0641228351	-0.0597714593	0.1407171721	0.1137664333	-0.0136585966	-0.0136299075	0.081046372	0.0401486418	0.0164182632	-0.0180950019	-0.0505788372	0.0561460543	0.0268912969	-0.0410903554	0.1135135311	0.0879081364	-0.0863479577	0.0437961265	-0.0329592211	-0.0859632176	-0.0332481121	0.0094493026	0.059458368	-0.0434631305	0.0416521426	0.0509839195	-0.0170797707	0.1624829209	0.0181768631	0.0516465579	0.0552129671	0.0634926823	0.0278679803	-0.0397307062	-0.0378223365	0.0660737213	-0.0548780599	-0.0537994548	-0.0119121767	0.0271816538	0.0373898688	0.0613434547	-0.0436906632	-0.062943123	-0.1115617863	0.2143188515	0.0012678668	-0.0450162768	-0.0389381951	-0.1153632838	0.0628193485	0.0263710034	-0.0270989498	0.0259656537	-0.0327056279	0.0360412106	0.0046786792	-0.0020982043	0.0469162096	0.0385305735	0.1071594633	-0.0493159593	-0.0229448172	0.0437257334	-0.0625559046	0.0005376908	0.0543347358	0.0610040893	-0.0490816251	-0.0218782928	-0.019942955	-0.0701162045	-0.0938156543	-0.0812686485	-0.0446591306	-0.1103494765	0.0175273227	0.0303141644	0.0729194685	0.0507835789	-0.0490875234	0.0530140751	0.0692992351	-0.0558386059	0.001044641	0.0306188594	-0.0261017688	0.0722443598	-0.0751763822	0.0368841811	0.0265585261	0.0331698515	0.022545565	0.0322908556	-0.0196273822	0.0201951561	0.0136161424	0.019422923	-0.0043903465	0.0053770631	-0.0600276263	-0.066048384	0.085598796	-0.0008755529	0.0069487565	-0.0419048503	0.0017022199	0.0213988206	0.0732164342	0.0724495078	0.0155456077	0.0354582448	0.1253926631	0.1139357221	0.0047114873	0.0482681414	-0.1040544519	0.0409947014	0.0492992368	-0.057625786	-0.06736197	-0.0073198223	-0.0121793788	-0.0137889966	0.0649470032	-0.0846076907	-0.0387463112	0.0159831157	-0.0215058624	0.1186176431	-0.1662755475	0.0134665192	-0.0958471793	-5.0897e-05	-0.0303392096	0.0584011261	-0.1448578957	0.0578618635	-0.0160129123	-0.0205667385	0.0871978876	-0.0597490701	-0.0510114089	0.01254645	0.0067841077	-0.0439238555	0.0519770516	-0.0478231909	0.0351768318	0.0469868143	-0.0558923029	-0.0039031043	0.0055351737	-0.0756325821	-0.0022652827	0.1195195905	-0.0269325812	0.1332854587	-0.0658286733	-0.0479982428	-0.008277076	-0.0938012806	0.0497528344	0.0120835344	0.0232188428	-0.1129570789	-0.0195035957	0.019772211	0.0412502612	0.0210167979	-0.045589495	-0.0223791325	-0.0441661858	0.0262127904	-0.0144807363	0.1287876157	-0.0042502061	-0.017939379	0.0564242571	0.0927608317	0.0182941632	-0.0176858069	0.0722274573	0.0433180397	0.0742669446	-0.1115593983	0.0536686192	-0.0074342875	-0.0180333281	0.0186492774	0.0309618224	-0.144242899	-0.1201883992	0.0932114628	-0.0605277564	0.0223545105	0.0656700117	0.0244440024	0.0172276637	0.0670325401	-0.0560516363	0.1110830111	0.0915081759	0.0910237247	0.090218205	0.0890944581	0.0876564477	0.0207894	-0.0100076	0.0004321991523599	0.00010015205776	0.123638	0.0207809999999999	0.0004318499609999	0.015286355044	-0.0584682	0.0141344	0.00019978126336	0.00341853041124	0.000372541	-0.000766799	5.879807064009999e-07	1.38786796681e-07	0.000566353	2.965599999999997e-05	8.794783359999985e-10	3.20755720609e-07	-0.0008357949999999	-1.000000000015745e-09	1.0000000000314906e-18	6.985532820248328e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
