onset	duration	stim_file	trial_type	block	hit
0	18	n/a	fix	1	n/a
18	3	localizer/Bodies/body_16.mov	bodies	2	n/a
21	3	localizer/Bodies/body_16.mov	bodies	2	1
24	3	localizer/Bodies/body_18.mov	bodies	2	n/a
27	3	localizer/Bodies/body_19.mov	bodies	2	n/a
30	3	localizer/Bodies/body_2.mov	bodies	2	n/a
33	3	localizer/Bodies/body_20.mov	bodies	2	n/a
36	3	localizer/Faces/face_16.mov	faces	3	n/a
39	3	localizer/Faces/face_17.mov	faces	3	n/a
42	3	localizer/Faces/face_17.mov	faces	3	1
45	3	localizer/Faces/face_19.mov	faces	3	n/a
48	3	localizer/Faces/face_2.mov	faces	3	n/a
51	3	localizer/Faces/face_21.mov	faces	3	n/a
54	3	localizer/Scenes/scene_20.mov	scenes	4	n/a
57	3	localizer/Scenes/scene_22.mov	scenes	4	n/a
60	3	localizer/Scenes/scene_24.mov	scenes	4	n/a
63	3	localizer/Scenes/scene_24.mov	scenes	4	1
66	3	localizer/Scenes/scene_26.mov	scenes	4	n/a
69	3	localizer/Scenes/scene_27.mov	scenes	4	n/a
72	3	localizer/Objects/obj_19.mov	objects	5	n/a
75	3	localizer/Objects/obj_2.mov	objects	5	n/a
78	3	localizer/Objects/obj_21.mov	objects	5	n/a
81	3	localizer/Objects/obj_22.mov	objects	5	n/a
84	3	localizer/Objects/obj_23.mov	objects	5	n/a
87	3	localizer/Objects/obj_23.mov	objects	5	1
90	3	localizer/Scrambled15G/obj07_gscr.mov	scrambled	6	n/a
93	3	localizer/Scrambled15G/obj08_gscr.mov	scrambled	6	n/a
96	3	localizer/Scrambled15G/obj09_gscr.mov	scrambled	6	n/a
99	3	localizer/Scrambled15G/obj09_gscr.mov	scrambled	6	1
102	3	localizer/Scrambled15G/obj11_gscr.mov	scrambled	6	n/a
105	3	localizer/Scrambled15G/obj12_gscr.mov	scrambled	6	n/a
108	18	n/a	fix	7	n/a
126	3	localizer/Objects/obj_25.mov	objects	8	n/a
129	3	localizer/Objects/obj_26.mov	objects	8	n/a
132	3	localizer/Objects/obj_28.mov	objects	8	n/a
135	3	localizer/Objects/obj_28.mov	objects	8	1
138	3	localizer/Objects/obj_3.mov	objects	8	n/a
141	3	localizer/Objects/obj_30.mov	objects	8	n/a
144	3	localizer/Scenes/scene_28.mov	scenes	9	n/a
147	3	localizer/Scenes/scene_3.mov	scenes	9	n/a
150	3	localizer/Scenes/scene_30.mov	scenes	9	n/a
153	3	localizer/Scenes/scene_32.mov	scenes	9	n/a
156	3	localizer/Scenes/scene_33.mov	scenes	9	n/a
159	3	localizer/Scenes/scene_33.mov	scenes	9	1
162	3	localizer/Bodies/body_22.mov	bodies	10	n/a
165	3	localizer/Bodies/body_23.mov	bodies	10	n/a
168	3	localizer/Bodies/body_23.mov	bodies	10	1
171	3	localizer/Bodies/body_25.mov	bodies	10	n/a
174	3	localizer/Bodies/body_27.mov	bodies	10	n/a
177	3	localizer/Bodies/body_28.mov	bodies	10	n/a
180	3	localizer/Scrambled15G/obj13_gscr.mov	scrambled	11	n/a
183	3	localizer/Scrambled15G/obj14_gscr.mov	scrambled	11	n/a
186	3	localizer/Scrambled15G/obj15_gscr.mov	scrambled	11	n/a
