global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
5933.882164897059	n/a	n/a	35210957.546883404	5828.818287118133	n/a	n/a	33975122.62424277	4090.0552497266326	n/a	n/a	16728551.945816386	4067.461039741309	6934.808932314483	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0938834	n/a	0.00881409279556	n/a	0.100383	n/a	0.010076746689	n/a	-0.0769901	n/a	0.00592747549801	n/a	0.00234269	n/a	n/a	5.4881964361e-06	-0.000360296	n/a	n/a	1.29813207616e-07	0.00240733	n/a	n/a	5.7952377289e-06	0.0	0.0	0.0	0.0	0.0
5876.182907372144	-57.69925752491508	3329.20431892647	34529525.56089254	5701.806915420053	-127.01137169808044	16131.888540627948	32510602.10073194	4087.884604329573	-2.170645397059616	4.711701439776097	16710800.53831475	4062.5378721235857	6726.591765501789	1.776425	36.735584	0.09272175	0.0637868	0.0031570926	-0.0390489414	0.0004140133	-0.0014941139	0.0183249645	-0.0779225988	-0.053440868	0.0307639994	0.0285035999	0.026556048	0.1087215801	0.0177414551	0.1739887976	0.04983608	-0.2068287154	0.0733246028	-0.0060302818	-0.0348872523	0.019490851	-0.0441820508	0.037741524	-0.0290987655	0.0684266563	0.039360202	-0.0335608021	0.0091418619	-0.0584119271	0.0279504991	-0.0242193685	0.0464897707	-0.0513580823	0.0722898783	-0.0540075751	0.0447983427	-0.0233117456	0.0915933176	-0.0481874426	0.0377002839	-0.0427610301	0.023788456	-0.0088926263	0.0048237767	-0.0043349575	0.0613314395	-0.0515861383	0.07405925	-0.0148845475	0.0188086327	-0.0433521793	0.0483490402	-0.0078183882	0.0470381282	-0.0695703658	-0.003541739	-0.0192314025	0.0581673085	-0.0606490765	0.0144870572	-0.056670389	0.0225796689	0.003783527	0.0385391875	-0.1030641283	0.0869387284	0.0099184685	0.0063916299	-0.0204567854	-0.0422321699	0.0224793125	0.0234828289	-0.0437601092	-0.0132025019	-0.0035657956	0.0266239441	0.0379789783	0.1081562035	-0.0563277306	-0.0320123398	0.0299424435	0.0396892136	-0.0252610299	-0.0002985708	-0.0020604014	-0.0304860942	0.0017256534	0.0363222269	0.039927052	-0.0421245478	-0.0222314805	0.0075903444	0.0214407208	0.0262893728	-0.0601412634	0.0142322371	-0.0599573507	0.0423021401	-0.0703255594	-0.0688582004	0.0023929159	-0.019523796	0.0059274675	-0.0570238959	0.1091066737	0.0424835365	-0.0202487941	0.0519468072	-0.0323920433	0.0138447731	-0.1104545226	0.0270554099	-0.0210519787	0.0271820535	-0.1371403358	-0.010302357	0.0007078695	-0.035507092	0.0371985055	-0.0060601134	0.0297638662	-0.0138835021	0.0741478657	-0.0189679144	0.0373080949	-0.0385213035	0.0469540335	-0.0459719109	0.0297480438	-0.0229766886	0.1302341529	-0.0645414357	0.0231912766	-0.0236296355	0.0297743595	0.0065536049	-0.0206520731	-0.0045028973	0.0695910848	-0.0023794747	-0.033376871	0.0434442877	-0.0541216929	-0.0280551459	0.0822307943	-0.0240579125	-0.0241946588	-0.0074864646	0.0645897465	0.0085813841	-0.0268823172	-0.0325645669	0.0620923581	0.0256726714	-0.0493670618	-0.0248199215	-0.0227667521	0.0035595787	0.0434245388	-0.0066931278	-0.0309250818	-0.0109377322	-0.0715788817	0.0517992277	0.0238181106	-0.043681625	0.0062109338	-0.0709140397	0.0435426754	-0.0903673324	0.1035769074	-0.0164480819	0.0796172202	-0.0582553352	0.1428045079	-0.2334354764	0.0272573205	-0.0208333366	0.0675273013	-0.1073903095	0.0220112836	-0.0397815359	0.1734604096	0.0022740316	-0.0777469655	0.2517774267	-0.1910474426	0.0140771962	-0.1606611833	0.1871501441	0.0918610248	0.0918549718	0.0918448838	0.0918307613	0.0918126049	0.0	0.0893720999999999	-0.0045113000000001	0.0079873722584099	2.0351827690000965e-05	0.100387	4.000000000004e-06	0.010077549769	1.6000000000032004e-11	-0.0312191	0.045771	0.00097463220481	0.002094984441	0.00158522	-0.00075747	5.737608009000002e-07	2.5129224484e-06	-0.000451535	-9.123899999999996e-05	8.324555120999992e-09	2.03883856225e-07	0.00240733	0.0	0.0	5.7952377289e-06	1.0	0.0	0.0	0.0	0.0
5852.689996924937	-23.49291044720667	551.9168412804722	34253980.20010522	5709.00222436195	7.195308941896656	51.77247076933797	32592706.39776969	4084.394133697427	-3.4904706321458434	12.183385233872604	16682275.439381955	4059.842369243948	6569.977545147001	1.577474	32.621384	0.06301455	0.0295051	-0.0843755165	-0.041344409	0.0608795544	-0.1544829762	-0.0080355812	-0.0665558666	-0.0506410547	0.1721899608	0.0416093511	0.0136028217	0.1385537707	0.0254244548	0.2932513283	0.1771284663	-0.1684397673	0.1242913451	-0.144473269	0.0082350924	0.0737098115	0.033383741	0.0916431016	0.0321288152	0.0040647713	0.1084746652	0.0345023797	-0.0809583909	-0.1351459063	0.0892418608	-0.1439649242	0.0925401598	0.0028968941	0.0181844941	-0.1491274387	0.0691512252	-0.0360890628	0.1416745093	-0.0496190505	0.0585717716	0.0472873749	-0.0053639217	-0.0812686894	0.0372817183	0.0175120884	0.0341431117	0.0341320597	0.0024684612	0.0818812931	-0.029335262	-0.0557763452	0.001184826	-0.041126071	-0.0138725984	0.0123098466	-0.0606973187	0.0002892503	0.0818647785	-0.0425910995	-0.0446865358	0.0735582425	-0.0194343237	-0.0374131019	-0.0181614212	-0.0911877693	0.0832413061	0.0054699475	-0.0006399432	-0.0721057189	0.0202697588	0.0229971824	0.0587838336	-0.0854399056	0.0661877679	0.0318622441	0.0511369165	-0.063319772	0.0393055036	-0.0431831757	-0.1050324936	0.0297480261	0.0019370627	0.0072806919	-0.0103417086	-0.1033938012	0.0827158713	0.0543248072	0.025124078	-0.0019180621	-0.0869685939	0.144016201	-0.0782196663	0.0215307041	0.0819206564	-0.159813933	0.0017158324	-0.0720503476	-0.0981150291	-0.0816060397	-0.0473975947	0.037953111	0.0280291381	-0.0435819287	0.0240071853	0.1044014503	0.1828108754	0.0175488423	0.0407975853	-0.1381910251	0.0256061688	-0.1156664453	0.0290270055	-0.094204519	0.1226150584	-0.1722417677	-0.0109948844	-0.0039653342	-0.1233416349	0.0109883375	0.0826423869	0.0896850896	0.0236392848	0.0966836429	0.0646859003	-0.0315466517	-0.094053692	0.0577340479	0.0461504558	-0.0550465237	-0.0057229587	0.0941070971	0.0266002382	0.0385341241	0.0124838183	-0.0896668591	0.0078644916	0.0837700471	-0.0270822237	0.0660753197	0.028470689	-0.143808667	0.1594702466	-0.0798269798	-0.0186747484	-0.0269541593	0.0547338459	-0.1170084966	-0.013701083	0.023680864	-0.0466157785	0.0551448408	0.0780978299	0.158880944	0.0118347656	-0.073174328	0.0475366213	0.0174096812	-0.0183784099	0.0239360757	-0.0429945566	-0.0444333726	-0.0234839413	0.0709576599	0.0245987137	-0.0706039314	0.0013928353	-0.08256703	0.0509159383	-0.0888834116	0.008093232	0.0604881316	0.0618351374	0.061424181	-0.1687604211	0.3055855736	0.059284627	0.1079404742	0.039623716	-0.1419930942	0.0040521011	0.0023971057	0.0022875881	-0.0200636297	-0.2316189893	0.0512336892	0.1322279648	0.0913415627	0.0428088138	-0.0994707451	0.0748450372	0.0918448838	0.0917904153	0.0916996582	0.0915726486	0.0914094366	0.0	0.0821557	-0.0072163999999999	0.00674955904249	5.2076428959998565e-05	0.0878392	-0.0125477999999999	0.00771572505664	0.0001574472848399	-0.0167407	0.0144783999999999	0.00028025103649	0.0002096240665599	0.00151005	-7.517000000000005e-05	5.650528900000008e-09	2.2802510025e-06	-0.000651544	-0.000200009	4.0003600081e-08	4.24509583936e-07	0.00210707	-0.00030026	9.015606760000008e-08	4.4397439849e-06	0.0	1.0	0.0	0.0	0.0
5826.849179744076	-25.84081718086145	667.7478325747043	33952171.363484204	5616.835128989455	-92.16709537249426	8494.773469402453	31548836.866249997	4078.056370581516	-6.337763115911002	40.16724131340194	16630543.761640487	4048.211668394936	6342.999164559908	1.217603	25.179432	0.0684477899999999	0.036667	-0.1566919607	0.0317637933	-0.0310184942	-0.0657496442	0.0244244029	0.0454936783	-0.0096058137	0.1606647961	-0.1379447881	-0.0420392889	0.002032946	0.0328285819	0.0829074148	-0.0291563286	-0.0171038977	0.0178854578	-0.1136872703	-0.0653686063	-0.0179039256	0.0891168159	0.0371796982	0.0300726017	0.0599770514	0.1157968792	-0.076175705	0.1369264798	-0.0942124127	0.0037664717	-0.0002652779	0.0094654155	-0.052174914	-0.0174917202	0.0609657759	0.0770574727	-0.0370456856	0.0215764111	0.083057839	0.0041033966	-0.1228447545	-0.0291545668	0.0040591682	0.0096392319	0.0432339691	-0.0442000471	0.0300648174	0.0062984052	0.1880362056	-0.0696613646	-0.1189911483	-0.0823433152	0.0789513875	-0.0255546616	-0.0441274328	-0.1059952627	-0.0136218124	0.027611518	0.0032618855	-0.0214936331	-0.0611140055	-0.0362558635	0.0345356075	0.0260509446	0.0131590521	-0.1036526984	-0.1120826047	-0.0449127778	-0.0779424447	0.0508232076	-0.0441641631	0.0114062837	0.0324957361	-0.0038117746	0.0430965719	-0.0440681478	-0.107672631	-0.0573667294	0.0315758691	-0.0402060075	-0.0628662213	-0.0510286916	-0.0540183802	0.0400650773	0.0704546405	0.0449904757	0.1130198418	0.0335627788	-0.005196859	0.1971085577	0.0462564203	-0.0747125946	-0.0051482079	-0.0279625323	-0.0547565337	0.0878577021	0.0434381022	-0.097802882	-0.0626918792	-0.0424152466	0.076205081	0.0572174879	0.0062248619	-0.1768976419	0.0368922852	0.0343287758	-0.0549906488	0.0509732841	-0.0323847637	0.0221721897	0.0308231738	0.0558395329	-0.0186585592	-0.0336348603	0.0452305244	-0.0380621276	-0.0067111353	-0.0441259255	-0.0226269614	0.1365486683	0.0241851997	0.0322484283	-0.0489594539	0.044934612	0.0428084645	0.0159853971	-0.0503705365	-0.1638545351	-0.1311918475	0.0586591079	0.0186997129	0.0511859403	0.1240557744	0.0919866218	-0.1124650448	0.0299744606	0.0673874078	0.0235485775	-0.0490653927	0.0193034038	0.0180801464	-0.0613024717	0.0650856202	0.0304104036	-0.0402914617	0.0266753427	0.0553483166	0.016922318	-0.1228742681	0.0817281982	0.0016082558	-0.049705204	-0.0207326679	-0.0683468936	-0.0589499978	0.0384323665	0.0569427586	-0.064899824	-0.0227962247	0.0017208218	-0.0927619723	0.0233351756	0.0762184303	-0.0920246089	-0.0157065032	0.0085193296	-0.0459682224	-0.0122025468	-0.0625464907	0.0523334437	0.0819722773	-0.0897825237	-0.0385607521	-0.0813310983	0.2208671794	-0.0084533244	0.0819504487	-0.0201777823	-0.0685928004	-0.0381426744	0.0303907918	0.0685131719	-0.0993836047	-0.088366212	0.115531576	0.0692535592	-0.0118900651	0.0284378886	-0.0029480778	0.0371197803	0.0918126049	0.0916613475	0.0914094366	0.0910571485	0.0906048703	0.0	0.0799789	-0.0021767999999999	0.00639662444521	4.738458239999968e-06	0.0637871	-0.0240521	0.00406879412641	0.00057850351441	0.00167139	0.01841209	2.7935445321e-06	0.0003390050581681	0.00115221	-0.0003578399999999	1.2804946559999992e-07	1.3275878841000002e-06	-0.000632198	1.9345999999999947e-05	3.7426771599999787e-10	3.996743112040001e-07	0.00200812	-9.895e-05	9.7911025e-09	4.0325459344e-06	0.0	0.0	0.0	0.0	0.0
5822.492433289222	-4.356746454853237	18.98123967187625	33901418.13571025	5583.34380364525	-33.49132534420551	1121.6688733114222	31173728.029703807	4069.158392575708	-8.897978005808	79.17401259184291	16558050.02386932	4035.899859631865	6315.878117014092	1.045528	21.620998	0.0881597399999999	0.0421797	-0.1620669994	0.0331534723	-0.0158331942	-0.025430354	0.0005458658	0.0862663984	0.0802323008	0.0625404987	-0.1474776389	-0.0242360996	0.0068679068	-0.0087177699	-0.0578905293	0.0019322578	0.153260364	-0.090973416	-0.1280872294	-0.0958891418	-0.009652579	0.0779831418	0.0218594961	-0.0421376362	-0.0069766867	0.0484509403	-0.0749457169	-0.055964671	0.0586887492	0.2261573735	-0.2391667796	0.1025154596	0.03378047	0.0719612884	0.0290289948	0.0036613099	-0.0450629272	-0.0937593477	-0.1782178616	0.0698047566	-0.0445752109	-0.0692307696	0.0190132667	-0.087488722	-0.1175753119	-0.0891760969	0.053734194	-0.0385073455	-0.094660191	0.0398306084	-0.1376411277	-0.0368441063	-0.0032596524	-0.042386016	-0.0092544734	-0.0040724402	-0.0047320875	0.0504416469	0.1151863598	0.0218871843	-0.0274852066	0.0164166289	0.0045836125	0.0284538283	0.0217401978	-0.0923978591	-0.0344307711	0.0007911571	-0.0024940958	-0.0278549553	0.0435873574	-0.0095543237	-0.0017874063	-0.0691013109	0.0630569743	-0.1070845643	-0.1153450259	-0.0013571025	0.0179773931	0.1552970955	-0.032376694	-0.0646817309	-0.0387531852	-0.1012328155	0.0520860067	-0.035853495	-0.0126954025	-0.0553978184	0.0253759561	0.0397812535	-0.0701252177	0.0720274883	0.024076378	-0.0789172929	0.0391863468	0.0847866824	0.0815698606	-0.1296051606	-0.0903492385	-0.0413343454	0.0032207033	-0.0637806574	0.1663777399	0.0551181705	-0.0558366997	0.0538622464	0.197076796	-0.0885427636	-0.1489793087	-0.0061633335	0.0741183974	-0.0482249626	-0.1104274955	0.0360625797	-0.0737886521	0.0416175067	-0.0656120399	-0.0441204951	-0.0395262318	0.1119054781	-0.2437482762	-0.1093847077	-0.0062203488	-0.1121200782	-0.0671663874	-0.1464640758	-0.0470100573	0.0376895865	0.04136913	0.0589792365	-0.0120407562	0.088165827	0.0252376188	-0.0962845734	0.0003664743	0.0239757336	-0.047395483	0.0166646596	0.012696797	-0.0072433795	-0.0035017063	-0.1087582997	0.1166773113	0.051846285	0.0418135445	-0.0288972461	-0.0046966818	-0.059689668	0.0302154352	0.0555745854	-0.0813469877	-0.0255855838	-0.0926087074	-0.070397078	-0.0168520839	0.0559804027	0.0650955263	-0.0042771784	-0.044405277	0.0187030449	-0.0279337368	0.0181063161	-0.0203771609	0.008215884	0.0710453359	-0.0180485904	-0.0635136548	0.0544578309	-0.097576669	0.0848127376	0.0392444193	-0.0825760735	-0.0609517303	-0.1437588952	0.2134863284	0.107069137	0.042850472	-0.0443574276	0.0115947568	-0.1018538304	-0.0449667818	-0.0754133677	-0.1241202731	-0.0840995123	-0.0150091504	0.0586300813	0.0550859829	-0.021552588	-0.0583772386	0.0848319623	0.0917641935	0.0914678594	0.0909746778	0.0902857102	0.0894024392	0.0	0.0821385	0.0021595999999999	0.00674673318225	4.66387215999999e-06	0.0288509	-0.0349362	0.00083237443081	0.00122053807044	-0.016758	-0.0184293899999999	0.0002808305639999	0.000339642415772	0.0008901659999999	-0.0002620440000001	6.866705793605245e-08	7.92395507555822e-07	-0.000865375	-0.000233177	5.4371513329e-08	7.488738906250001e-07	0.00216559	0.0001574699999999	2.4796800899999952e-08	4.689780048099999e-06	0.0	0.0	0.0	0.0	0.0
5845.1401782748735	22.64774498565112	512.9203529350852	34165663.70368322	5594.16882652659	10.825022881340374	117.18112038154264	31294724.85968189	4074.995941821355	5.837549245646642	34.076981195349674	16605591.925860511	4044.386698496847	6382.351116933853	1.190165	24.612013	0.0525419499999999	0.0371846	-0.1273713536	0.0523980531	-0.0082871801	0.1056497412	0.0104264805	0.0765680117	0.147724649	0.0047980215	-0.0267349138	-0.0827039428	-0.0422217812	0.0689022299	0.1005271515	0.0137497534	0.1203803023	-0.1189038093	-0.0197832694	-0.0173426346	0.0131754551	0.0074579622	-0.0586494681	-0.0431288808	-0.2054848725	0.0908428856	0.0695896405	-0.0380856025	0.1035055979	0.0529197331	-0.1219990537	-0.1619313565	-0.1646042958	-0.0286673155	-0.0383299891	-0.0165843157	-0.0003361335	0.0059926542	-0.0078343113	0.0063992147	-0.0411180008	-0.10273137	0.0472706331	-0.0520618081	-0.086633814	0.0379788482	0.0788707822	-0.0331196429	-0.1114209848	0.0242935886	0.008431163	0.0441030683	0.1378128707	0.0701505464	-0.0408153377	-0.026479831	0.0486121899	0.0412008194	-0.0134483766	-0.0290729739	0.1201366551	-0.0395178118	-0.056797887	0.03677245	-0.0243951798	-0.0020934333	0.023446859	0.1032590381	0.0563790609	0.0255496092	-0.0552608602	0.0028368446	-0.035958601	-0.0612415386	-0.0541762718	-0.0552126804	0.066342063	0.076366737	-0.0185264763	0.0425079348	0.0604322934	0.0126817535	0.0371325023	0.034672097	0.0442506477	0.0748125456	0.0306638397	0.0046029322	-0.0610698186	-0.0258780506	-0.1262190979	-0.0599115542	0.048100685	-0.0666229524	0.1080366657	-0.0151546481	0.0410518461	-0.0691887141	-0.0162153006	0.0267725931	-0.0466609507	0.1874648994	0.1343145761	0.1265514048	-0.0563830292	0.1034398778	0.0876644377	0.0974705868	-0.021504587	0.072844113	-0.0941155224	-0.1065567889	-0.0138335615	-0.020380395	0.0192986655	-0.0471789589	-0.0508470241	0.0305889108	0.1017248996	0.0121179925	0.0405736126	0.0239224334	-0.1077335479	-0.2057438948	0.0660987426	-0.0457074995	0.0167094161	0.0788628986	0.0476398031	-0.0306357112	0.0205556787	0.0351182249	0.0740326868	-0.0285377513	0.0154055206	-0.1287177652	-0.0148290582	-0.0041305025	-0.0427896875	0.0542631956	-0.0062745409	-0.0266684258	0.0544724908	-0.117373493	0.0797095038	0.016401589	0.0649023204	0.068414173	-0.083414029	-0.0056405747	-0.0243967347	0.0496933135	0.0428826412	0.036615904	0.0088989027	0.0397430053	-0.0462362391	-0.0098194941	-0.0261680919	0.0210394259	0.0431657493	-0.0474631949	0.0128489892	-0.1308398752	0.0833668574	0.0081501631	-0.0203388285	-0.0011626294	-0.1453142071	0.0905138431	-0.00078976	-0.0980144807	-0.0126611469	-0.0837269767	0.0987241597	0.2040068291	-0.0033653904	-0.0363820098	0.1123543781	0.064874947	0.0251356049	-0.085656425	-0.0487209113	0.0536199179	0.0065969563	-0.0838868855	-0.0330641293	-0.0419257635	-0.0188033486	0.0545814068	0.0916996582	0.0912100867	0.0903960694	0.0892605018	0.0878074234	0.0	0.0821299	-8.599999999997499e-06	0.00674532047401	7.395999999995697e-11	0.0184581	-0.0103927999999999	0.00034070145561	0.0001080102918399	-0.0167076	5.039999999999906e-05	0.00027914389776	2.540159999999905e-09	0.000202806	-0.0006873599999999	4.724637695998625e-07	4.113027363600001e-08	-0.000866808	-1.4330000000000115e-06	2.053489000000033e-12	7.513561088640001e-07	0.00201258	-0.0001530099999999	2.3412060099999963e-08	4.0504782564e-06	0.0	0.0	0.0	0.0	0.0
