global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47
7004.72711862679	n/a	49066202.00642557	n/a	5960.810625010523	n/a	n/a	35531263.30723834	4096.436488065624	n/a	16780791.900755424	n/a	4164.922721869903	9782.156089946036	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0433747	n/a	n/a	0.00188136460009	0.0348707	n/a	n/a	0.0012159657184899	-0.175404	n/a	n/a	0.030766563216	0.00127798	n/a	1.6332328803999998e-06	n/a	-0.00070909	n/a	n/a	5.028086281e-07	0.000127808	n/a	1.6334884864000003e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6890.920332066853	-113.80678655993688	47484783.02289235	12951.98466709903	5774.603126131255	-186.20749887926831	34673.23263887271	33346041.26432486	4084.645807811495	-11.790680254128802	16684331.375272024	139.02014085510282	4139.030665601177	9042.44738038478	2.066336	51.814339	0.0758454	0.0402989	-0.0424317262	0.0572964531	-0.1507282324	0.0430449461	-0.0194140708	0.062901218	-0.0648939766	0.0056135714	-0.1239380999	0.0296140639	-0.1268444602	0.0663994588	-0.0213205942	0.1820650346	-0.0374381311	0.029365371	-0.0634586338	0.0462563001	-0.0101675491	-0.0195202929	0.0345431238	-0.0682974255	0.0375283075	-0.0075202991	0.0476446327	-0.0535528446	0.0202560263	-0.0126936452	0.0084761795	-0.0062681145	0.0181107363	-0.0399229143	0.0271874581	-0.0349495302	0.0744352061	-0.0035480309	-0.0144585988	0.0340089256	-0.0178378146	0.0045843661	-0.0107019939	0.03350088	-0.0070822056	0.0332138315	-0.0984224558	0.0332342327	-0.0115527861	0.0073740618	-0.0162198301	0.0627781346	-0.0338556355	0.0286705376	-0.00713435	0.0451492213	-0.021420308	-0.0066032552	0.0378345245	-0.0153521645	0.0501852621	0.0586160941	-0.0295491503	-0.0120751867	0.0113054856	0.0207656038	-0.0444092981	0.0221479572	0.0167313525	0.013693453	-0.0156749279	-0.0004355544	-0.0086698477	0.041780793	0.03582926	-0.0171859744	-0.0426273844	0.0226920701	0.0636945304	-0.0254089246	-0.0360725886	-0.0221840495	0.0767259561	0.0240512761	-0.017353328	-0.0023923029	-0.0177050824	-0.0645878542	0.0367904811	-0.0023606783	-0.0428957757	-0.0025990297	-0.0928104327	0.006674324	0.0127400454	0.0027894962	0.0310457352	-0.0654486393	0.0403632602	-0.0132624117	0.0284590183	0.0553967839	-0.0279649076	0.0681643786	-0.0347438997	0.0554399445	-0.0052824921	0.029402184	-0.0075982989	0.0244640466	-0.0418617017	0.0165717318	-0.029646283	0.0110441837	-0.0550449333	0.0408545797	-0.0143238379	0.0964806512	-0.0007729861	-0.0527223596	0.0447183862	-0.026765936	-0.0353642681	-0.0097264203	0.0978817047	-0.0750183878	0.0440325531	-0.0107083907	0.0002454276	-0.042164363	0.0344428831	-0.0348156822	0.0553694365	-0.069808871	0.0301331249	-0.0027044867	0.0258021427	-0.0447226502	0.0019046256	0.0145789877	-0.0210172742	0.0478776787	-0.0591015514	-0.0278257265	0.019743156	-0.0218469438	-0.0019157426	0.0500772622	0.0007847727	0.0570272743	-0.0149378377	-0.0241519983	0.0049644919	0.0280346881	-0.0242690425	-0.0184468743	-0.0217336697	0.026526723	0.0561237767	-0.0659607448	-0.0635320044	0.0468351953	0.033552599	0.0347250966	-0.0419951427	-0.0433057409	0.014744317	0.0055379738	0.1082313676	-0.0195184646	-0.0656854045	-0.0396343706	0.0323722224	-0.0417915357	0.1235328943	-0.0545728648	0.0077264443	-0.0359703201	0.0001421243	-0.0798473054	0.1033067274	-0.0557401699	0.1071998575	-0.0855158136	0.0732311853	-0.0646761093	0.1566023788	-0.0208337336	0.0072029559	-0.0150258293	0.1190872231	-0.0143324642	0.0932677317	-0.1225785231	0.0182555339	-0.2439089785	0.0918610248	0.0918549718	0.0918448838	0.0918307613	0.0918126049	0.0	0.0359884	-0.0073863	5.455742769000008e-05	0.0012951649345599	0.0185827	-0.0162879999999999	0.0002652989439999	0.00034531673929	-0.142573	0.032831	0.0010778745609999	0.020327060329	0.00105499	-0.0002229899999999	1.1130039001e-06	4.9724540099999984e-08	-0.000551738	0.000157352	2.475965190400001e-08	3.04414820644e-07	0.000121348	-6.4600000000000025e-06	1.4725337104000002e-08	4.1731600000000026e-11	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6908.447795678027	17.527463611174426	47726650.94560859	307.2119806410436	5790.698435553189	16.095309421933962	259.05898538779616	33532188.371518143	4086.3719133455575	1.7261055340622988	16698435.414179431	2.979440314720494	4141.722396182214	9372.306708099644	1.575109	39.496586	0.0725112499999999	0.0414915	-0.1250659014	-0.0134389344	0.0335022014	0.0620008812	-0.0776221742	0.0152845093	-0.1209094031	0.0055883576	-0.0275270554	0.1417318383	-0.1120523695	-0.0169952625	0.0264129142	0.3345458717	-0.0852467152	0.1372546781	-0.1071217507	-0.0279626097	-0.0943437294	-0.0301760864	0.0720022105	-0.0342593853	-0.070753886	0.1047058794	0.0138834652	-0.0868904608	-0.0139154978	-0.0635725394	-0.1027594484	0.0405993784	0.0584310272	0.0198147812	-0.0176251896	-0.0713394218	0.1498146319	0.0516858824	0.0503246166	-0.0188160369	-0.0371016949	-0.0989992203	-0.0309341612	0.0580577667	0.0389825145	-0.0505697289	-0.1383780835	0.0634255406	-0.0090169285	-0.0796948217	0.021955884	-0.0113003254	-0.0695332876	0.0375845495	0.1246857239	-0.0723642753	-0.0185213453	-0.026041839	0.1058011331	0.1492202532	0.0374694096	0.0105976409	-0.0537901186	-0.027751621	0.0920238029	-0.0338966795	-0.0545359461	-0.0305175942	-0.0515137131	0.0622481398	0.0668110797	-0.0830032803	-0.1156468284	0.0916238002	0.0622545105	0.0236423069	-0.0352194605	0.1299527291	0.127926923	-0.0865314369	-0.0280969224	-0.0363790137	0.0260146401	0.0657882266	0.0589951748	-0.0467638362	0.0355083597	-0.0241574349	-0.0598230463	-0.0055238475	-0.0327098336	-0.0107945914	-0.1502451385	-0.0681651602	0.0330481452	-0.007239048	-0.0284011768	-0.12119528	-0.0330838709	0.0416637388	0.0885113132	0.0599620943	0.0318339605	-0.0247649382	0.0845208985	0.0707033202	-0.0504691353	0.0357671491	0.0335298528	0.0095859134	-0.1892688883	-0.007048533	-0.0210795966	-0.0546653178	-0.0009379105	0.0289992631	-0.1304110776	0.1528936619	-0.0580136882	0.0027680637	0.0367641309	-0.0186614194	-0.1092364917	-0.0729466562	0.1200819744	-0.0382131964	0.0889652187	0.0104622727	-0.0304657675	-0.0026657164	0.0312386868	0.0786708267	0.1362694357	0.0136688525	-0.1259229587	-0.0121784505	-0.0052772364	-0.0096574947	-0.0803758154	-0.1070334218	-0.1200444567	0.0124278749	-0.0001504171	-0.0516319427	-0.0203718875	-0.0409760107	-0.0278033177	0.0200345466	0.0124245437	-0.0920978748	-0.0730519105	0.0469761625	0.0802810133	0.1765811955	-0.0235613809	-0.0631271718	-0.0727626767	0.0034974792	0.0809607856	-0.0674943195	-0.0651773681	0.0487824818	0.0282464665	0.0131702548	0.0196778891	0.0007754301	0.0745235116	-0.0644878725	0.1734700179	0.0076079412	0.0076839357	0.0456517448	0.0929661275	-0.0498880072	-0.0554249572	-0.1107022708	0.0773808793	0.0144563294	0.1273271731	-0.0632868943	0.2090281071	-0.0907262004	0.15014992	-0.0241870031	0.2476195165	-0.0230718333	-0.0334848298	-0.1158067657	0.0216225846	0.039431716	0.1212001588	-0.0223449036	-0.0350835074	-0.1532383652	-0.0605252941	-0.0371365393	0.0918448838	0.0917904153	0.0916996582	0.0915726486	0.0914094366	0.0	0.0358836	-0.0001047999999999	1.0983039999998989e-08	0.00128763274896	0.0498633	0.0312806	0.0009784759363599	0.00248634868689	-0.154523	-0.0119499999999999	0.0001428024999999	0.023877357529	0.00151546	0.0004604699999999	2.2966190116e-06	2.1203262089999998e-07	-0.000515619	3.611899999999993e-05	1.304582160999995e-09	2.6586295316100004e-07	0.000208276	8.692799999999999e-05	4.3378892176e-08	7.556477183999999e-09	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6859.2602595321705	-49.18753614585694	47049451.30799734	2419.413712099983	5723.254982915418	-67.44345263777086	4548.619303703242	32755647.59946616	4073.25390774363	-13.118005601927509	16591397.396948753	172.08207097220145	4127.445524843186	9067.365493338892	1.338809	33.571251	0.0827810449999999	0.0460945	-0.0560802816	-0.0326860733	0.0242408196	0.0690636312	-0.0588547555	-0.0348232826	-0.0370968412	0.0328351474	0.0541050812	0.1266833726	0.0023247532	-0.0999744791	-0.081466534	0.0548524064	-0.0569496886	0.0947232097	-0.0080573573	-0.0603876358	-0.0505042265	-0.067587126	0.0894689873	0.0230154337	-0.0553412496	0.0785286898	-0.0013991699	0.0020163341	0.115558482	0.0293526529	-0.0919393888	0.1112182719	0.0104102113	0.1296646471	-0.113704261	0.0582785117	0.0925626732	-0.0512803307	-0.0277436214	0.0991808025	-0.0519232958	-0.0613645299	0.0452831315	0.2239603911	-0.0498795119	-0.0777314391	0.0225292115	0.0123584513	-0.0356498647	-0.0032549132	0.0704758028	-0.0032064671	0.0204511035	-0.014024473	0.0518713472	-0.0401402444	0.0526605866	0.026521958	0.0937515935	0.0337533963	0.0150922516	-0.0468062095	-0.0158275408	0.0114940053	0.1108248684	0.0231323289	0.0593450706	0.0370370347	-0.0466750397	0.072926145	-0.0712679803	0.0603378337	0.033562487	-0.0034856111	-0.0440451918	-0.0238800135	0.0551441661	-0.1120961897	-0.0292677317	-0.1124594727	-0.0598924482	-0.0503789962	-0.1064113943	0.0472912558	0.1371152656	0.0012761896	0.025730746	-0.0313926502	0.0370540695	0.0430940808	0.1286331855	-0.007255223	0.0154323764	-0.0407051537	0.0688628296	-0.0529305517	-0.019387122	-0.0323375146	-0.0617173805	-0.0248560226	0.0891732931	-0.015492265	0.050536179	-0.0189588383	0.0965742849	-0.0806028732	0.0498175454	0.0278537827	-0.0905972581	-0.0589266172	-0.1415704087	0.0289851469	0.0138314548	-0.063086724	-0.024990066	0.005680359	-0.0953203889	0.0661037063	-0.1318039574	0.0314466279	-0.1218088399	0.1285594553	0.0695556264	-0.0807666872	0.1755074787	-0.0749161846	0.0667450161	-0.0448873273	-0.0460605798	0.027026441	-0.0603086512	0.0995539223	0.0334910432	0.0507630385	-0.0079845618	0.007041013	0.0111576071	-0.0467511829	0.0350052444	-0.011106847	-0.0147026763	-0.0122309213	0.0045975243	-0.016387956	-0.0529975155	-0.0335907209	-0.0230136517	-0.1109545719	0.06831025	0.0199137165	-0.0439707278	-0.02891626	-0.0275826323	0.0062908868	0.1047301241	0.1324927894	-0.0073376733	0.0587041252	-0.0294558235	-0.0150531197	-0.011092775	-0.0729913316	0.106347959	-0.0003144403	0.0151154881	0.0787368051	0.0504011077	0.0219114109	-0.1295847403	-0.0425408794	-0.0620525893	0.0762156617	0.0469007148	0.0556865735	-0.0303490359	-0.0621593936	0.0284116144	0.0194406413	-0.0036144379	0.1254863792	0.1677223987	-0.083710633	0.0530586143	-0.1028916657	0.1615216571	-0.0799048676	0.0129305846	-0.1136405759	0.0783049947	0.042891463	-0.0196726198	-0.1681124371	-0.0966653344	-0.1015865685	0.022291557	0.039393673	0.0918126049	0.0916613475	0.0914094366	0.0910571485	0.0906048703	0.0	0.0352435	-0.0006401	4.097280100000058e-07	0.0012421042922499	0.0710646	0.0212013	0.00044949512169	0.00505017737316	-0.126315	0.0282079999999999	0.0007956912639999	0.015955479225	0.000997138	-0.0005183219999999	9.94284191044e-07	2.686576956839999e-07	-0.000503068	1.2551000000000075e-05	1.5752760100000194e-10	2.53077412624e-07	8.451609999999998e-05	-0.0001237599	7.1429711592099974e-09	1.5316512848010004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6870.052964494246	10.792704962075732	47197627.73495618	116.48248039841413	5729.868346904887	6.61336398946969	43.73658325721445	32831391.272862542	4076.844984213688	3.591076470057942	16620665.025308304	12.89583021380381	4130.306885903279	9093.955859527432	1.426004	35.75771	0.0895656049999999	0.0517151	-0.0816737495	-0.0839643242	0.0479421181	0.0385073288	-0.041025052	-0.1113549757	-0.0313305254	0.0448184312	-0.0305779628	0.095866046	0.0953326544	0.0183057812	0.0142876928	0.0971636067	-0.0675766405	0.1747090305	-0.0283297337	-0.1246064172	-0.0141652415	-0.0450176389	0.0691621502	-0.0268388214	-0.045852972	-0.041224088	-0.0227920455	-0.1902837612	-0.0385941853	0.0439145247	-0.0494936327	0.0969964537	-0.011059768	0.1105271505	-0.10259334	-0.0016763295	0.1885392389	0.0162957328	-0.1050879462	-0.05021581	-0.1270327926	0.0447576088	-0.0259859278	0.1416022257	0.1076828518	-0.0205047142	0.0049595512	0.1407189367	-0.1349539339	0.0113212844	-0.0155409485	0.0708992977	-0.0573896204	-0.070973051	0.0152973836	0.0450215474	-0.0198242604	-0.097226252	0.0475432347	-0.179694799	-0.043591169	0.1092987735	-0.0237796559	-0.0118823969	0.0272340499	-0.1222569924	0.0190640393	-0.0369693468	-0.0006063514	0.0332059485	-0.0399056246	0.0851015887	0.0032236358	-0.0590210393	-0.0596993861	-0.0124221192	0.0391351728	-0.0658942561	-0.0822170624	-0.0054340076	0.0410690111	0.1093258511	-0.0645773589	-0.0498862083	-0.0293482452	0.0353912954	-0.0129840667	-0.1557670569	0.0268455823	0.0999538627	-0.0624738499	0.0613296355	0.0075565797	0.11039554	0.0456947901	0.031677681	-0.0224974274	-0.0621022035	-0.1317960488	-0.0253696853	0.0549435945	0.0175346143	-0.0331038752	-0.0182297245	-0.0491173871	0.0258513418	-0.058204362	0.1150922831	-0.0017808289	-0.0442032339	-0.0926376334	-0.1509726092	0.0730554157	-0.0268281685	0.0867703537	-0.0572912415	-0.0907976712	0.2069552191	-0.1399549335	0.1975417904	-0.0881773507	0.0634085271	-0.1211866488	-0.0488909117	0.1421799099	-0.0622608079	-0.0356169675	0.1017747976	-0.0056475561	-0.0791058883	-0.0137271812	-0.0484266159	0.0396741766	-0.0099905234	-0.0106406429	0.0033812719	0.0535376305	-0.0393622305	0.14775099	-0.0381560471	-0.0075000566	0.0249340898	-0.1447288004	0.0572243761	-0.041552999	-0.0934874391	0.0608139256	-0.0744126006	-0.0462244467	0.0039770532	0.0388261114	-0.0269665832	-0.0851239208	-0.0144361237	-0.0770751475	0.0673757874	0.145971769	-0.0138236008	0.0067372827	-0.0159986341	-0.0303402858	0.0032073658	0.015578828	0.0844782077	-0.0163311739	-0.0601265403	-0.0788351014	-0.0270119207	-0.0752434488	-0.00049017	-0.0556608743	-0.0073827173	0.1049634627	-0.0205173881	-0.0887349361	-0.0461337444	0.0793861203	-0.1307838041	0.1882053105	-0.0223300823	0.2170123374	-0.0449955011	0.1682064413	-0.0019037724	0.265909921	-0.0518290445	-0.0271286284	-0.148860001	-0.0378761041	0.0166439962	-0.0165226802	0.0065154491	0.0290172208	-0.1499572708	-0.1046576544	-0.0660847606	0.0917641935	0.0914678594	0.0909746778	0.0902857102	0.0894024392	0.0	0.0337706	-0.0014728999999999	2.169434409999997e-06	0.0011404534243599	0.0301764	-0.0408882	0.00167184489924	0.00091061511696	-0.134667	-0.0083519999999999	6.975590399999998e-05	0.018135200889	0.00151546	0.0005183219999999	2.2966190116e-06	2.686576956839999e-07	-0.000440587	6.248099999999997e-05	3.903875360999996e-09	1.94116904569e-07	-0.000111731	-0.0001962471	1.2483816361e-08	3.851292425841e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
